,,,,,,,,,,,,
Type,Aircraft,Aircraft ID,Nation,Commander,Take off Base ,Target ,Date of Mission,Take off Time,Reason for Crash ,Latitude,Longitude ,Location
Crash,Ki-46-II ,Dinah 2604,Japan,NA,NA,NA,NA,NA,NIL,-5.516855,150.083713," Numundo Plantation , Kimbe"
Crash, B-25H-5 Mitchell ,43-4513,USA,Captain Charles W. Wolfendale,Stirling Airfield,New Britain,03-09-1944,NA,Small Arms Fire,-5.315976,150.032573,"  Talasea Airfield , Willaumez Peninsula"
Crash,PV-1 Ventura ,NZ4522  ,New Zealand,Flight Lt Frederick N. R. Thomas,Piva North Airfield (Bougainville),Rabaul,09-09-1944,NA,Anti Aircraft Fire,-5.315976,150.032573, Talasea Airfield
Crash,A6M2 Model 21 Zero,8224,Japan,NA,NA,NA,NA,NA,NIL,-5.149343,150.08911,"Wangore Bay east of the Willaumez Peninsula and 
north of Kimbe Bay off Kimbe"
Crash,B-25D-1 Mitchell ,41-30318 ,USA,"1st Edward A. Murphy, Jr.",Horanda Drome (Dobodura 4),Vitu Island Group (Witu),30-10-1943,NA,Anti Aircraft Fire,-4.653557,149.41329,Genta Bay 
Crash,B-25D-1 ,"""Here's Howe"" Serial Number 41-30279",USA,1st Lt William T. Kyser,Dobodura Airfield,Cape Gloucester,26-12-1943,NA,Friendly fire in mistake,-5.518213,148.544002, Borgen Bay
Crash,P-38H-1-LO Lightning,"""Porky II"" Serial Number 42-66506 Nose A",USA," Major Edward ""Porky"" Cragg", North Borio Airfield (Dobodura No. 15),Cape Gloucester,26-12-1943,NA,Enemey Aircraft,-5.52266,148.517722,Western shore of Borgen Bay
Crash,Bristol Beaufighter Mark Ic,Serial Number A19-33 ,USA, F/O Harold Maurice Woodroffe,NA, Cape Gloucester Airfield,12-1946,NA,Anti Aircraft Fire,5.541892,148.507588, Borgen Bay
Crash,B-25D-1 Mitchell ,"""Crabb 2nd"" Serial Number 41-30517  ",USA,Lt. Col. Clinton U. True ,NA, Cape Gloucester Airfield,26-12-1943,NA,Friendly fire in mistake,-5.458364,148.537982,six miles from Silimati Point into Borgen Bay
Crash,Ki-46-II Dinah,2485 Tail Number 2,Japan,NA,Lakunai Airfield,Sag Sag,01-1944,NA,NIL,-5.581052,148.326237,Sag Sag (Western New Britain)
Crash, P-47D-2-RE Thunderbolt,Serial Number 42-8095 ,USA, 1st Lt James H. Pratt,NA, Cape Gloucester Airfield,26-12-1943,NA,NIL,-5.453296,148.055658, Sakar Island to the west of Cape Gloucester.
Crash, Ki-61-Ic Hei ,3010,Japan,NA,NA,NA,NA,NA,NIL,-5.628412,147.902655,"Umboi Island (Rooke) roughly a mile north of Barim Point, 90 yards offshore"
Crash,D3A2 Model 22 Val ,NA,Japan,NA,NA,NA,15-12-1943,NA,NIL,-6.157622,149.025609,West of Paligmete in Sea
Crash,"
  Lockheed Hudson Mark IVa",A16-126  ,Australia, F/O Graham Ian Gibson," 7 Mile Drome , Port Moresby", Gasmata Harbor ,11-02-1942,NA,"Enemy Aircraft
 (A5M4 Claudes)",-6.242458,150.330655,"Gasmata, New Britain"
Crash,Lockheed Hudson Mark IIIA, A16-165  ,Australia, F/Lt Kenneth James Erwin," 7 Mile Drome , Port Moresby", Gasmata Airfield,03-03-1942,8:30 PM,Bad Weather ,-6.291074,150.307939,Urai Island
Crash,B-25G-5 Mitchell,42-64846  ,USA, 1st Lt. Clifford A. Jaebker, 17 Mile Drome Port Moresby,"Gasmata Airfield and 
Linderhafen Plantation",22-11-1943,NA,Anti Aircraft Fire,-6.288679,150.323506,Arwin Island
Crash,Lockheed Hudson Mark IVA,A16-101,Australia,F/O Arthur Renfred Nicolay, 17 Mile Drome Port Moresby, Gasmata Airfield,03-03-1942,8:30 PM,Bad Weather,-6.277592,150.335001,Coral Reel off Gasmata
